"run","source_global","end_global","source_phase","optimized_decisions","physics_ticks","nonterminal_handoffs","terminal_handoffs","native_effect_ticks","own_phase_effect_ticks","native_audit_anomaly_rows","state_write_anomaly_rows","sampled"
"20260907T2323203253351Z_g2f27c6f5065a_7f76ca91e2494cfbab5b9ee2f8f6e58d",123136,124160,"P01",8,64,3,0,64,64,0,0,"true"
"20260907T2323203253351Z_g2f27c6f5065a_7f76ca91e2494cfbab5b9ee2f8f6e58d",123136,124160,"P02",387,3096,3,0,3096,3093,0,0,"true"
"20260907T2323203253351Z_g2f27c6f5065a_7f76ca91e2494cfbab5b9ee2f8f6e58d",123136,124160,"P03",12,96,3,0,96,93,0,0,"true"
"20260907T2323203253351Z_g2f27c6f5065a_7f76ca91e2494cfbab5b9ee2f8f6e58d",123136,124160,"P04",3,24,3,0,24,21,0,0,"true"
"20260907T2323203253351Z_g2f27c6f5065a_7f76ca91e2494cfbab5b9ee2f8f6e58d",123136,124160,"P05",346,2768,2,0,2768,2765,0,0,"true"
"20260907T2323203253351Z_g2f27c6f5065a_7f76ca91e2494cfbab5b9ee2f8f6e58d",123136,124160,"P06",234,1869,1,0,1869,1867,0,0,"true"
"20260907T2323203253351Z_g2f27c6f5065a_7f76ca91e2494cfbab5b9ee2f8f6e58d",123136,124160,"P07",1,8,1,0,8,7,0,0,"true"
"20260907T2323203253351Z_g2f27c6f5065a_7f76ca91e2494cfbab5b9ee2f8f6e58d",123136,124160,"P08",1,8,1,0,8,7,0,0,"true"
"20260907T2323203253351Z_g2f27c6f5065a_7f76ca91e2494cfbab5b9ee2f8f6e58d",123136,124160,"P09",32,255,0,0,255,254,0,0,"true"
"20260907T2323203253351Z_g2f27c6f5065a_7f76ca91e2494cfbab5b9ee2f8f6e58d",123136,124160,"P10",0,0,0,0,0,0,0,0,"false"
"20260907T2323203253351Z_g2f27c6f5065a_7f76ca91e2494cfbab5b9ee2f8f6e58d",123136,124160,"P11",0,0,0,0,0,0,0,0,"false"
"20260907T2323203253351Z_g2f27c6f5065a_7f76ca91e2494cfbab5b9ee2f8f6e58d",123136,124160,"P12",0,0,0,0,0,0,0,0,"false"
"20260907T2323203253351Z_g2f27c6f5065a_7f76ca91e2494cfbab5b9ee2f8f6e58d",123136,124160,"P13",0,0,0,0,0,0,0,0,"false"
"20260907T2331246866298Z_g2f27c6f5065a_f199aae4d2484f9580706f12cf6290b2",124160,125184,"P01",8,64,4,0,64,64,0,0,"true"
"20260907T2331246866298Z_g2f27c6f5065a_f199aae4d2484f9580706f12cf6290b2",124160,125184,"P02",483,3864,3,0,3864,3860,0,0,"true"
"20260907T2331246866298Z_g2f27c6f5065a_f199aae4d2484f9580706f12cf6290b2",124160,125184,"P03",11,88,3,0,88,85,0,0,"true"
"20260907T2331246866298Z_g2f27c6f5065a_f199aae4d2484f9580706f12cf6290b2",124160,125184,"P04",25,200,3,0,200,197,0,0,"true"
"20260907T2331246866298Z_g2f27c6f5065a_f199aae4d2484f9580706f12cf6290b2",124160,125184,"P05",497,3968,0,0,3968,3965,0,0,"true"
"20260907T2331246866298Z_g2f27c6f5065a_f199aae4d2484f9580706f12cf6290b2",124160,125184,"P06",0,0,0,0,0,0,0,0,"false"
"20260907T2331246866298Z_g2f27c6f5065a_f199aae4d2484f9580706f12cf6290b2",124160,125184,"P07",0,0,0,0,0,0,0,0,"false"
"20260907T2331246866298Z_g2f27c6f5065a_f199aae4d2484f9580706f12cf6290b2",124160,125184,"P08",0,0,0,0,0,0,0,0,"false"
"20260907T2331246866298Z_g2f27c6f5065a_f199aae4d2484f9580706f12cf6290b2",124160,125184,"P09",0,0,0,0,0,0,0,0,"false"
"20260907T2331246866298Z_g2f27c6f5065a_f199aae4d2484f9580706f12cf6290b2",124160,125184,"P10",0,0,0,0,0,0,0,0,"false"
"20260907T2331246866298Z_g2f27c6f5065a_f199aae4d2484f9580706f12cf6290b2",124160,125184,"P11",0,0,0,0,0,0,0,0,"false"
"20260907T2331246866298Z_g2f27c6f5065a_f199aae4d2484f9580706f12cf6290b2",124160,125184,"P12",0,0,0,0,0,0,0,0,"false"
"20260907T2331246866298Z_g2f27c6f5065a_f199aae4d2484f9580706f12cf6290b2",124160,125184,"P13",0,0,0,0,0,0,0,0,"false"
"20260907T2346092851638Z_g2f27c6f5065a_3ba4a92452b14e74ad1f3d5c8a03075d",125184,126208,"P01",0,0,0,0,0,0,0,0,"false"
"20260907T2346092851638Z_g2f27c6f5065a_3ba4a92452b14e74ad1f3d5c8a03075d",125184,126208,"P02",0,0,0,0,0,0,0,0,"false"
"20260907T2346092851638Z_g2f27c6f5065a_3ba4a92452b14e74ad1f3d5c8a03075d",125184,126208,"P03",0,0,0,0,0,0,0,0,"false"
"20260907T2346092851638Z_g2f27c6f5065a_3ba4a92452b14e74ad1f3d5c8a03075d",125184,126208,"P04",0,0,0,0,0,0,0,0,"false"
"20260907T2346092851638Z_g2f27c6f5065a_3ba4a92452b14e74ad1f3d5c8a03075d",125184,126208,"P05",0,0,0,0,0,0,0,0,"false"
"20260907T2346092851638Z_g2f27c6f5065a_3ba4a92452b14e74ad1f3d5c8a03075d",125184,126208,"P06",990,7906,1,0,7906,7906,0,0,"true"
"20260907T2346092851638Z_g2f27c6f5065a_3ba4a92452b14e74ad1f3d5c8a03075d",125184,126208,"P07",1,8,1,0,8,7,0,0,"true"
"20260907T2346092851638Z_g2f27c6f5065a_3ba4a92452b14e74ad1f3d5c8a03075d",125184,126208,"P08",1,8,1,0,8,7,0,0,"true"
